"Период","Google","Яндекс","Bing","Mail.ru","Sogou","Baidu","Tut.by","Yahoo!","Rambler","DuckDuckGo","Ukr.net","Ecosia"
"2020-04-04","12","8","0","0","1","0","0","0","0","0","0","0"
"2020-04-05","13","6","0","0","0","0","0","0","0","0","0","0"
"2020-04-06","19","10","0","0","0","0","0","0","0","0","0","0"
"2020-04-07","19","9","0","0","1","0","0","0","0","0","0","0"
"2020-04-08","17","8","0","0","0","0","0","0","0","0","0","0"
"2020-04-09","16","12","0","0","0","0","0","0","0","0","0","0"
"2020-04-10","12","6","0","0","4","0","0","0","0","0","0","0"
"2020-04-11","7","7","0","0","0","0","0","0","0","0","0","0"
"2020-04-12","17","7","0","0","0","0","0","0","0","0","0","0"
"2020-04-13","20","11","0","0","4","3","0","0","0","0","0","0"
"2020-04-14","14","10","0","0","0","0","0","0","0","0","0","0"
"2020-04-15","18","14","0","0","0","0","0","0","0","0","0","0"
"2020-04-16","19","11","0","0","1","0","0","0","0","0","0","0"
"2020-04-17","10","13","0","0","0","0","0","0","0","0","0","0"
"2020-04-18","8","2","0","0","0","0","0","0","0","0","0","0"
"2020-04-19","11","4","0","0","0","0","0","0","0","0","0","0"
"2020-04-20","18","7","0","2","0","0","0","0","0","0","0","0"
"2020-04-21","19","7","0","0","0","0","0","0","0","0","0","0"
"2020-04-22","24","7","0","0","1","0","0","0","1","0","0","0"
"2020-04-23","13","13","0","0","0","1","0","0","0","0","0","0"
"2020-04-24","11","8","0","0","0","0","0","0","0","0","0","0"
"2020-04-25","7","5","0","0","4","0","0","0","0","0","0","0"
"2020-04-26","17","11","0","1","0","0","0","0","0","0","0","0"
"2020-04-27","18","7","0","0","0","0","0","0","0","0","0","0"
"2020-04-28","22","7","0","0","0","1","0","0","0","0","0","0"
"2020-04-29","14","7","0","0","0","0","0","0","0","0","0","0"
"2020-04-30","16","6","0","0","0","0","0","0","0","0","0","0"
"2020-05-01","15","3","1","0","1","0","0","0","0","0","0","0"
"2020-05-02","11","6","0","0","0","0","0","0","0","0","0","0"
"2020-05-03","7","5","0","0","0","0","0","0","0","0","0","0"
"2020-05-04","16","10","0","1","0","1","0","0","0","0","0","0"
"2020-05-05","8","10","0","0","1","0","0","0","0","0","0","0"
"2020-05-06","18","10","0","2","0","0","0","0","0","0","0","0"
"2020-05-07","14","21","0","0","0","3","0","0","0","0","0","0"
"2020-05-08","17","15","0","0","0","0","0","0","0","0","0","0"
"2020-05-09","6","7","0","0","0","0","0","0","0","0","0","0"
"2020-05-10","5","12","0","1","0","0","0","0","0","0","0","0"
"2020-05-11","8","16","0","0","0","0","0","0","0","0","0","0"
"2020-05-12","15","23","0","0","0","0","1","2","0","0","0","0"
"2020-05-13","22","14","0","0","1","0","1","0","0","0","0","0"
"2020-05-14","21","9","0","0","0","0","0","0","1","0","0","0"
"2020-05-15","18","19","0","0","0","0","0","0","0","0","0","0"
"2020-05-16","10","13","0","0","2","0","0","0","0","0","0","0"
"2020-05-17","13","11","0","0","0","0","0","0","0","0","0","0"
"2020-05-18","19","16","1","0","0","0","0","0","0","0","0","0"
"2020-05-19","20","9","0","0","2","0","0","0","0","0","0","0"
"2020-05-20","21","11","0","0","0","0","1","0","0","0","0","0"
"2020-05-21","16","27","0","0","0","0","0","0","0","0","0","0"
"2020-05-22","16","25","0","0","1","0","0","0","0","0","0","0"
"2020-05-23","8","12","0","0","0","0","0","0","0","0","0","0"
"2020-05-24","12","17","0","0","0","0","0","0","0","0","0","0"
"2020-05-25","15","16","0","0","1","0","0","0","0","0","0","0"
"2020-05-26","15","16","0","0","0","0","0","0","0","0","0","0"
"2020-05-27","13","12","0","0","0","0","1","0","0","0","0","0"
"2020-05-28","12","14","0","0","1","0","0","0","0","0","0","0"
"2020-05-29","7","9","0","0","0","0","0","0","0","0","0","0"
"2020-05-30","12","7","0","0","0","0","0","0","0","0","0","0"
"2020-05-31","9","20","0","0","0","0","0","0","0","0","0","0"
"2020-06-01","20","24","0","0","1","0","0","0","0","0","0","0"
"2020-06-02","12","24","0","1","0","0","0","0","0","0","0","0"
"2020-06-03","23","19","0","1","0","0","1","0","0","0","0","0"
"2020-06-04","20","21","0","0","1","0","0","0","0","0","0","0"
"2020-06-05","19","13","0","0","0","0","0","0","0","0","0","0"
"2020-06-06","6","11","0","0","0","0","0","0","0","0","0","0"
"2020-06-07","13","8","0","0","1","0","0","0","0","0","0","0"
"2020-06-08","10","16","0","3","0","0","0","0","0","0","0","0"
"2020-06-09","18","22","0","0","0","0","0","0","0","0","0","0"
"2020-06-10","13","13","0","1","1","0","0","0","0","0","0","0"
"2020-06-11","16","15","0","0","0","0","0","0","0","0","0","0"
"2020-06-12","10","6","0","0","0","0","0","0","0","0","0","0"
"2020-06-13","4","3","0","0","1","0","0","0","0","0","0","0"
